"unit","campaign","year","site","point_name","mean.lat","mean.lon","settlements","agriculture","habitat","dunes","Date","ITime","SciName","heb_name","count_individuals","subunit","observations_id","latitude","longitude","date","time","date_end","time_end","activity","orientation","type","body","tail","tail_type","stones_flipped","weather","temp_shade","temp_sun","site_description","obs_snout_len","obs_tail_len","obs_regentail_len","material","obs_notes","disturbance","sv","t","regen_t","substrate","survey_protocol","weather_desc","wind","sex_new","age","observation_type","Column","conc_lat_lon","start_Time","Date.time","Comments","new_plot_id","survey_ID","Occurrence","dist.noon","dist.noon.radians","dist.noon.radians.2h","sin.dist.noon","cos.dist.noon","sin.dist.noon.2h","cos.dist.noon.2h","dist.21.June","dist.21.June.radians","dist.21.June.radians.2h","sin.dist.21.June","cos.dist.21.June","sin.dist.21.June.2h","cos.dist.21.June.2h","scaled.temp.shade","scaled.temp.sun","track_obs_id","grp_id","is.rare.in.unit"
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 2",31.75974652,34.62450973,"Far",NA,NA,"shifting","2014-09-30","09:47:00","Acanthodactylus scutellatus","שנונית חולות",2,NA,"",31.75974652,34.62450973,"30/09/2014","10:48:00","","","moving","between","shrubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,"subadult","direct",NA,"31.75974652_34.62450973","10:47:00","2014/09/30 09:47:00",NA,NA,"T0_Ashdod Far Shifting 2",NA,7980,0.5803219762881145,1.160643952576229,0.5482932295199138,0.8362861558477596,0.917060074385124,0.39874906892524625,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 2",31.75974652,34.62450973,"Far",NA,NA,"shifting","2014-09-30","09:47:00","Acanthodactylus scutellatus","שנונית חולות",1,NA,"",31.75974652,34.62450973,"30/09/2014","10:48:00","","","pitfall trap","in","pitfall trap",44,"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trap",NA,NA,NA,"subadult","direct",NA,"31.75974652_34.62450973","10:47:00","2014/09/30 09:47:00",NA,NA,"T0_Ashdod Far Shifting 2",NA,7980,0.5803219762881145,1.160643952576229,0.5482932295199138,0.8362861558477596,0.917060074385124,0.39874906892524625,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 2",31.75974652,34.62450973,"Far",NA,NA,"shifting","2014-09-30","09:47:00","Acanthodactylus scutellatus","שנונית חולות",1,NA,"",31.75974652,34.62450973,"30/09/2014","10:54:00","","","pitfall trap","in","pitfall trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trap",NA,NA,NA,"subadult","direct",NA,"31.75974652_34.62450973","10:47:00","2014/09/30 09:47:00",NA,NA,"T0_Ashdod Far Shifting 2",NA,7980,0.5803219762881145,1.160643952576229,0.5482932295199138,0.8362861558477596,0.917060074385124,0.39874906892524625,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 2",31.75974652,34.62450973,"Far",NA,NA,"shifting","2014-09-30","09:47:00","Chalcides sepsoides","נחושית חולות",1,NA,"",31.75974652,34.62450973,"01/10/2014","10:47:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75974652_34.62450973","10:47:00","2014/09/30 09:47:00",NA,NA,"T0_Ashdod Far Shifting 2",NA,7980,0.5803219762881145,1.160643952576229,0.5482932295199138,0.8362861558477596,0.917060074385124,0.39874906892524625,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,118,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 2",31.75974652,34.62450973,"Far",NA,NA,"shifting","2014-09-30","09:47:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.75974652,34.62450973,"01/10/2014","10:47:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.75974652_34.62450973","10:47:00","2014/09/30 09:47:00",NA,NA,"T0_Ashdod Far Shifting 2",NA,7980,0.5803219762881145,1.160643952576229,0.5482932295199138,0.8362861558477596,0.917060074385124,0.39874906892524625,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,713,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 3",31.7589917,34.6266927,"Far",NA,NA,"shifting","2014-09-30","09:59:00","Acanthodactylus scutellatus","שנונית חולות",1,NA,"",31.7589917,34.6266927,"30/09/2014","11:06:00","","","pitfall trap","in","pitfall trap",52,"74+R5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trap",NA,NA,"female",NA,"direct",NA,"31.7589917_34.6266927","10:59:00","2014/09/30 09:59:00",NA,NA,"T0_Ashdod Far Shifting 3",NA,7260,0.5279620987282847,1.0559241974565694,0.5037739770455263,0.8638355052043957,0.8703556959398997,0.4924235601034671,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 3",31.7589917,34.6266927,"Far",NA,NA,"shifting","2014-09-30","09:59:00","Acanthodactylus scutellatus","שנונית חולות",1,NA,"",31.7589917,34.6266927,"30/09/2014","11:10:00","","","pitfall trap","in","pitfall trap",45,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trap",NA,NA,NA,"subadult","direct",NA,"31.7589917_34.6266927","10:59:00","2014/09/30 09:59:00",NA,NA,"T0_Ashdod Far Shifting 3",NA,7260,0.5279620987282847,1.0559241974565694,0.5037739770455263,0.8638355052043957,0.8703556959398997,0.4924235601034671,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 3",31.7589917,34.6266927,"Far",NA,NA,"shifting","2014-09-30","09:59:00","Chalcides sepsoides","נחושית חולות",1,NA,"",31.7589917,34.6266927,"01/10/2014","11:00:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.7589917_34.6266927","10:59:00","2014/09/30 09:59:00",NA,NA,"T0_Ashdod Far Shifting 3",NA,7260,0.5279620987282847,1.0559241974565694,0.5037739770455263,0.8638355052043957,0.8703556959398997,0.4924235601034671,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,119,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 3",31.7589917,34.6266927,"Far",NA,NA,"shifting","2014-09-30","09:59:00","Daboia palaestinae","צפע מצוי",1,NA,"",31.7589917,34.6266927,"01/10/2014","11:00:00","","","tracks",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,"","trail","","","","","indirect",NA,"31.7589917_34.6266927","10:59:00","2014/09/30 09:59:00",NA,NA,"T0_Ashdod Far Shifting 3",NA,7260,0.5279620987282847,1.0559241974565694,0.5037739770455263,0.8638355052043957,0.8703556959398997,0.4924235601034671,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,1,357,FALSE
"Coastal Plain Sands","T0",2014,"Ashdod","Ashdod Far Shifting 3",31.7589917,34.6266927,"Far",NA,NA,"shifting","2014-09-30","09:59:00","Stenodactylus sthenodactylus","ישימונית מצויה",1,NA,"",31.7589917,34.6266927,"30/09/2014","10:59:00","","","shelter","under","cardboard",NA,NA,"original",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scan",NA,NA,NA,NA,"direct",NA,"31.7589917_34.6266927","10:59:00","2014/09/30 09:59:00",NA,NA,"T0_Ashdod Far Shifting 3",NA,7260,0.5279620987282847,1.0559241974565694,0.5037739770455263,0.8638355052043957,0.8703556959398997,0.4924235601034671,101,1.7386348384250363,3.4772696768500726,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,NA,NA,NA,NA,FALSE
