"unit","year","campaign","subunit","site","point_name","survey_ID","Date","sin.dist.21.June","cos.dist.21.June","sin.dist.noon","cos.dist.noon","settlements","agriculture","dunes","habitat","mean.lon","mean.lat","NA","Ablepharus rueppellii","Acanthodactylus aegyptius","Acanthodactylus beershebensis","Acanthodactylus boskianus","Acanthodactylus scutellatus","Cerastes cerastes","Cerastes vipera","Chalcides guentheri","Chalcides ocellatus","Chalcides sepsoides","Chamaeleo chamaeleon","Daboia palaestinae","Dolichophis jugularis","Eirenis coronelloides","Eirenis decemlineatus","Eirenis rothii","Eryx jaculus","Eumeces schneiderii","Hemidactylus turcicus","Hemorrhois nummifer","Heremites vittatus","Laudakia vulgaris","Letheobia simoni","Lytorhynchus diadema","Macroprotodon cucullatus","Malpolon insignitus","Mediodactylus orientalis","Mesalina bahaeldini","Mesalina olivieri","Micrelaps muelleri","Myriopholis macrorhyncha","Ophiomorus latastii","Ophisops elegans","Phoenicolacerta laevis","Platyceps collaris","Platyceps rogersi","Psammophis schokari","Pseudopus apodus","Ptyodactylus guttatus","Ptyodactylus puiseuxi","Rhynchocalamus melanocephalus","Scincus scincus","Spalerosophis diadema","Stenodactylus petrii","Stenodactylus sthenodactylus","Telescopus fallax","Testudo graeca","Testudo kleinmanni","Trapelus agnetae","Trapelus savignii","Varanus griseus","Xerotyphlops syriacus"
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Far Semi-Shifting 3","T0_Netiv Haasara Far Semi-Shifting 3","2014-10-14",0.9175836260593937,-0.39754281428255595,0.573576436351046,0.8191520442889918,"Far",NA,"semi-shifting",NA,34.51367732,31.5903723,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Far Shifting 1","T0_Netiv Haasara Far Shifting 1","2014-10-13",0.9242907221930934,-0.3816892202666588,0.42261826174069944,0.9063077870366499,"Far",NA,"shifting",NA,34.51668104,31.58650865,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Far Shifting 2","T0_Netiv Haasara Far Shifting 2","2014-10-13",0.9242907221930934,-0.3816892202666588,0.49999999999999994,0.8660254037844387,"Far",NA,"shifting",NA,34.51406395,31.58797394,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Far Shifting 3","T0_Netiv Haasara Far Shifting 3","2014-10-13",0.9242907221930934,-0.3816892202666588,0.6394390019805848,0.7688418320734595,"Far",NA,"shifting",NA,34.51815882,31.59272587,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Near Semi-Shifting 1","T0_Netiv Haasara Near Semi-Shifting 1","2014-10-13",0.9242907221930934,-0.3816892202666588,0.740218127486832,0.672366807434668,"Near",NA,"semi-shifting",NA,34.51549594,31.59630978,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Near Semi-Shifting 2","T0_Netiv Haasara Near Semi-Shifting 2","2014-10-14",0.9175836260593937,-0.39754281428255595,0.6883545756937539,0.7253743710122876,"Near",NA,"semi-shifting",NA,34.51113718,31.59473466,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2014,"T0",NA,"Netiv Haasara","Netiv Haasara Near Semi-Shifting 3","T0_Netiv Haasara Near Semi-Shifting 3","2014-10-14",0.9175836260593937,-0.39754281428255595,0.8829475928589269,0.46947156278589086,"Near",NA,"semi-shifting",NA,34.50517029,31.600489660000004,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Far Semi-Shifting 1","T1_Ashdod Far Semi-Shifting 1","2015-09-28",0.9911140639934547,-0.1330147065341959,0.9996573249755573,0.02617694830787314,"Far",NA,"semi-shifting",NA,34.6118426,31.75178674,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Far Semi-Shifting 2","T1_Ashdod Far Semi-Shifting 2","2015-10-06",0.9634705485641488,-0.2678143051621742,0.8526401643540922,0.5224985647159489,"Far",NA,"semi-shifting",NA,34.63104228,31.759704320000004,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Far Semi-Shifting 3","T1_Ashdod Far Semi-Shifting 3","2015-09-28",0.9911140639934547,-0.1330147065341959,0.9902680687415704,0.13917310096006547,"Far",NA,"semi-shifting",NA,34.61866996999999,31.760232809999998,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Far Shifting 1","T1_Ashdod Far Shifting 1","2015-09-28",0.9911140639934547,-0.1330147065341959,0.9670459389139431,0.2546019482055276,"Far",NA,"shifting",NA,34.62450841,31.75771835,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Far Shifting 2","T1_Ashdod Far Shifting 2","2015-09-28",0.9911140639934547,-0.1330147065341959,0.9255405040175664,0.3786486173524329,"Far",NA,"shifting",NA,34.62450973,31.759746519999997,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Far Shifting 3","T1_Ashdod Far Shifting 3","2015-09-28",0.9911140639934547,-0.1330147065341959,0.9537169507482269,0.30070579950427306,"Far",NA,"shifting",NA,34.6266927,31.7589917,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Near Semi-Shifting 1","T1_Ashdod Near Semi-Shifting 1","2015-10-06",0.9634705485641488,-0.2678143051621742,0.8038568606172173,0.5948227867513414,"Near",NA,"semi-shifting",NA,34.62928404,31.745254820000003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Near Semi-Shifting 2","T1_Ashdod Near Semi-Shifting 2","2015-09-28",0.9911140639934547,-0.1330147065341959,0.8703556959398997,0.4924235601034671,"Near",NA,"semi-shifting",NA,34.62045073,31.76645591,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashdod","Ashdod Near Semi-Shifting 3","T1_Ashdod Near Semi-Shifting 3","2015-10-06",0.9634705485641488,-0.2678143051621742,0.8767267557075077,0.48098876891938774,"Near",NA,"semi-shifting",NA,34.63014823,31.76380334,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashkelon","Ashkelon Far Semi-Shifting 1","T1_Ashkelon Far Semi-Shifting 1","2015-10-06",0.9634705485641488,-0.2678143051621742,0.9647873238288129,0.26303121445797495,"Far",NA,"semi-shifting",NA,34.60645652,31.720104409999998,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashkelon","Ashkelon Far Semi-Shifting 2","T1_Ashkelon Far Semi-Shifting 2","2015-10-06",0.9634705485641488,-0.2678143051621742,0.9288095528719242,0.3705574375098362,"Far",NA,"semi-shifting",NA,34.61261335,31.71950099,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashkelon","Ashkelon Far Semi-Shifting 3","T1_Ashkelon Far Semi-Shifting 3","2015-10-06",0.9634705485641488,-0.2678143051621742,0.9772311064626789,0.21217767215644634,"Far",NA,"semi-shifting",NA,34.60798923,31.71594876,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Coastal Plain Sands",2015,"T1",NA,"Ashkelon","Ashkelon Far Shifting 1","T1_Ashkelon Far Shifting 1","2015-10-06",0.9634705485641488,-0.2678143051621742,0.9940563382223196,0.10886687485196474,"Far",NA,"shifting",NA,34.59716188,31.71275766,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
