"point_name","latitude","longitude","ID","layer","geometry"
"Ofer 32.66116094_34.96865537",32.66116094,34.96865537,63,1050,"c(197337.249720642, 729661.723447087)"
"Ofer Kkl 3",32.66032073,34.97882237,64,1407.56884765625,"c(198290.820571748, 729566.471791524)"
"Ofer Kkl Plantings 1",32.61968215285714,34.97122850714286,65,575.543212890625,"c(197568.539009429, 725061.200540374)"
"Ofer Kkl Plantings 2",32.61601959,34.96652201,66,1044.0306396484375,"c(197125.908422583, 724656.003246812)"
"Ofer Kkl Plantings 3",32.628566070000005,34.96534540666667,67,1123.0538330078125,"c(197018.605242787, 726047.649538936)"
"Ramat Hashofet - Kkl Plantings 1",32.61716,35.110972,68,1044.629150390625,"c(210683.69575075, 724761.344815364)"
"Ramat Hashofet - Kkl Plantings 2",32.622465,35.112418,69,1453.4442138671875,"c(210819.920579516, 725349.546278725)"
"Ramat Hashofet 32.61710013_35.11234171",32.61710013,35.11234171,70,1162.1639404296875,"c(210812.245387246, 724754.593114449)"
"Ramat Hashofet 32.62225135_35.11265519",32.62225135,35.11265519,71,1472.4554443359375,"c(210842.160496496, 725325.833429743)"
"Ramat Hashofet 33.0939666_35.5664466",33.0939666,35.5664466,72,1028.6519775390625,"c(253251.477514479, 777695.188267522)"
"Ramat Hashofet 33.098205_35.564775",33.098205,35.564775,73,726.72210693359375,"c(253093.809376889, 778164.725269601)"
"Ramat Hashofet Kkl Plantings 4",32.60957685,35.11595598,74,1475.8472900390625,"c(211150.77203785, 723919.980832427)"
"Ramat Hashofet Kkl Plantings 4a",32.60910331,35.11070664,75,1004.0542602539063,"c(210658.002623026, 723867.88783415)"
"Ramot Naftali 33.09405282_35.56702946",33.09405282,35.56702946,76,1063.602294921875,"c(253305.857897185, 777704.938669865)"
"Ramot Naftali 33.09475371_35.56140929",33.09475371,35.56140929,77,559.0169677734375,"c(252780.917904311, 777780.87417943)"
"Ramot Naftali 33.09853595_35.56487564",33.09853595,35.56487564,78,750,"c(253103.07816288, 778201.462689567)"
"Ramot Naftali Kkl Plantings 1",33.09477838375,35.56137014624999,79,559.0169677734375,"c(252777.254328159, 777783.598272845)"
"Ramot Naftali Kkl Plantings 2",33.09403412,35.56702842,80,1063.602294921875,"c(253305.767974086, 777702.864347763)"
"Ramot Naftali Kkl Plantings 3",33.09845045714286,35.56477267428572,81,725.430908203125,"c(253093.498768793, 778191.947792454)"
"Zuriel - Kkl Plantings 3",33.014651,35.316273,82,600,"c(229905.760374544, 768845.808458434)"
"Zuriel 33.01091098_35.31488335",33.01091098,35.31488335,83,235.84951782226563,"c(229776.348623407, 768430.880119198)"
"Zuriel 33.01398017_35.31735242",33.01398017,35.31735242,84,530.330078125,"c(230006.700171002, 768771.517093498)"
"Zuriel Far 1",33.017089,35.310043,85,875,"c(229323.364006643, 769115.595709541)"
"Zuriel Kkl 2",33.01092878,35.31488161,86,235.84951782226563,"c(229776.183959169, 768432.854076623)"
"Zuriel Kkl 3",33.013998,35.31735071,87,530.330078125,"c(230006.538265487, 768773.49437833)"
"Zuriel Kkl Plantings 1",33.017017624999994,35.30981209,88,875,"c(229301.796543886, 769107.658131482)"
"Zuriel Kkl Plantings 1a",33.016872,35.307781,89,863.1337890625,"c(229112.034549865, 769091.3190323)"
"Zuriel Kkl Plantings 3",33.01389544666667,35.317430613333336,90,530.330078125,"c(230014.016629224, 768762.128605325)"
